course,episode,lesson,infinitive,part of speech,audio,japanese,example
Friends Season 1,1,1,hump,n.,1 hump.mp3,こぶ,So does he have {{c1::a hump::こぶ}}?{{c1::a hump::こぶ}} and a hairpiece?
Friends Season 1,1,1,hairpiece,n.,2 hairpiece.mp3,かつら,So does he have a hump? A hump and {{c1::a hairpiece::かつら}}?
Friends Season 1,1,1,sweetie,n.,3 sweetie.mp3,あなた (呼びかけ）,"You okay, {{c1::sweetie::あなた (呼びかけ）}}?"
Friends Season 1,1,1,small intestine,n.,4 small intestine.mp3,小腸,"I just feel like someone reached down my throat, grabbed my {{c1::small intestine::小腸}}, pulled it out of my mouth and tied it around my neck."
Friends Season 1,1,1,to cleanse,v.,5 cleansing.mp3,洗浄する,"Oh, no, don’t! Stop {{c1::cleansing::洗浄する}} my aura. Just leave my aura alone, okay?"
Friends Season 1,1,1,to fixate on,v.,6 fixating on.mp3,固執する,Why does everyone keep {{c1::fixating on::固執する}} that? She didn’t know. How should I know?
Friends Season 1,1,1,joint,n.,7 joints.mp3,場所・店,You’re angry. You’re hurtin'. Can I tell you what the answer is? Strip {{c1::joints::場所・店}}! 
Friends Season 1,1,1,hormones,n.,8 hormones.mp3,ホルモン,"Come on, you’re single. Have some {{c1::hormones::ホルモン}}."
Friends Season 1,1,1,decaf,n.,9 decaf.mp3,デカフェ,--Can I get you some coffee? --{{c1::Decaf::デカフェ}}.
Friends Season 1,1,1,to be turned on by,p.v.,10 turned on by.mp3,惹かれる,I realized I was more {{c1::turned on by::惹かれる}} this gravy boat than by Barry.
Friends Season 1,1,1,to freak out,p.v.,11 freaked out.mp3,びびる,And then I really {{c1::freaked out::びびる}}.
Friends Season 1,1,1,it hit me,v.,12 it hit me.mp3,ひらめく,And that’s when {{c1::it hit me::ひらめく}}. How much Barry looks like Mr. Potato Head.
Friends Season 1,1,1,to drift apart,p.v.,13 drifted apart.mp3,疎遠になる,I know you and I kind of just {{c1::drifted apart::疎遠になる}}.
Friends Season 1,1,2,establish,v.,14 established.mp3,はっきりさせる,We’ve {{c1::established::はっきりさせる}} she’s staying here with Monica
Friends Season 1,1,2,sleigh,n.,15 sleigh.mp3,そり,Doorbells and {{c1::sleigh::そり}} bells and something with mittens.
Friends Season 1,1,2,whiskers,n.,16 whiskers.mp3,ネコのひげ,Raindrops on roses and {{c1::whiskers::ネコのひげ}} on kittens. Doorbells and sleigh bells and something with mittens. 
Friends Season 1,1,2,mittens,n.,17 mittens.mp3,手袋,Doorbells and sleigh bells and something with {{c1::mittens::手袋}}.
Friends Season 1,1,2,to hit on,p.v.,18 hitting on.mp3,ナンパする,Joey! Stop {{c1::hitting on::ナンパする}} her. It’s her wedding day.
Friends Season 1,1,2,to buzz in,p.v.,19 buzz him in.mp3,家に入れる,{{c1::Buzz::家に入れる}} him {{c1::in}}.
Friends Season 1,1,2,to head for,p.v.,20 headed for.mp3,〜に向かう,"Well, I was kind of supposed to be {{c1::headed for::〜に向かう}} Aruba on my honeymoon."
Friends Season 1,1,2,put together,p.v.,21 put together.mp3,組み立てる,Joey and Chandler are coming over to helping me {{c1::put together::組み立てる}} my new furniture. 
